iter	Passed	Remaining
0	177	177113
1	181	90368
2	190	63339
3	195	48593
4	201	40100
5	205	34077
6	209	29709
7	217	26936
8	220	24313
9	223	22168
10	227	20470
11	231	19029
12	234	17782
13	237	16696
14	240	15820
15	243	14986
16	247	14290
17	250	13639
18	252	13037
19	255	12528
20	260	12148
21	263	11707
22	265	11291
23	269	10968
24	271	10604
25	275	10308
26	279	10058
27	282	9794
28	287	9614
29	290	9388
30	293	9171
31	296	8974
32	303	8907
33	307	8732
34	309	8544
35	312	8368
36	318	8298
37	321	8136
38	323	7977
39	327	7867
40	334	7820
41	337	7692
42	340	7575
43	343	7469
44	348	7405
45	352	7307
46	355	7198
47	358	7101
48	367	7129
49	370	7035
50	373	6946
51	378	6899
52	382	6828
53	384	6740
54	387	6655
55	393	6633
56	395	6547
57	398	6472
58	401	6405
59	404	6340
60	408	6291
61	412	6234
62	415	6181
63	418	6118
64	425	6116
65	427	6056
66	431	6005
67	434	5956
68	439	5932
69	441	5870
70	445	5822
71	447	5770
72	454	5776
73	458	5731
74	461	5688
75	464	5642
76	469	5623
77	471	5576
78	474	5534
79	477	5488
80	483	5486
81	487	5458
82	489	5402
83	492	5368
84	494	5328
85	500	5317
86	503	5282
87	506	5249
88	514	5262
89	517	5229
90	519	5192
91	523	5164
92	528	5154
93	531	5124
94	534	5094
95	537	5061
96	539	5026
97	549	5058
98	551	5022
99	554	4993
100	561	5000
101	564	4970
102	567	4939
103	569	4908
104	576	4910
105	579	4885
106	582	4858
107	585	4832
108	590	4824
109	593	4799
110	595	4772
111	598	4744
112	601	4721
113	607	4723
114	610	4694
115	613	4674
116	615	4644
117	620	4640
118	625	4627
119	628	4605
120	631	4583
121	637	4587
122	640	4566
123	644	4556
124	648	4540
125	653	4529
126	656	4512
127	659	4493
128	665	4490
129	667	4470
130	672	4458
131	675	4440
132	681	4445
133	686	4435
134	690	4427
135	697	4434
136	702	4425
137	704	4402
138	714	4426
139	719	4418
140	733	4466
141	736	4450
142	745	4467
143	751	4468
144	760	4483
145	767	4486
146	776	4503
147	780	4490
148	795	4541
149	808	4582
150	814	4578
151	824	4601
152	829	4589
153	832	4574
154	838	4569
155	841	4553
156	846	4546
157	858	4576
158	878	4648
159	893	4690
160	895	4668
161	901	4665
162	905	4649
163	908	4629
164	912	4617
165	918	4613
166	921	4594
167	924	4578
168	927	4558
169	931	4549
170	934	4530
171	937	4513
172	940	4497
173	947	4499
174	951	4486
175	955	4473
176	960	4468
177	964	4452
178	967	4437
179	970	4421
180	978	4428
181	982	4415
182	984	4397
183	988	4383
184	992	4370
185	995	4355
186	998	4341
187	1005	4344
188	1009	4331
189	1012	4315
190	1016	4303
191	1021	4296
192	1023	4281
193	1027	4267
194	1030	4253
195	1035	4246
196	1037	4230
197	1040	4215
198	1043	4198
199	1045	4180
200	1050	4176
201	1053	4161
202	1056	4147
203	1059	4133
204	1065	4133
205	1068	4118
206	1071	4106
207	1074	4092
208	1080	4090
209	1083	4076
210	1086	4061
211	1088	4046
212	1095	4049
213	1100	4041
214	1103	4028
215	1106	4014
216	1110	4008
217	1113	3996
218	1116	3981
219	1119	3969
220	1126	3969
221	1128	3956
222	1131	3943
223	1134	3929
224	1140	3929
225	1144	3918
226	1148	3909
227	1151	3898
228	1157	3895
229	1159	3882
230	1162	3870
231	1165	3857
232	1168	3846
233	1172	3839
234	1175	3826
235	1178	3814
236	1180	3800
237	1187	3801
238	1192	3795
239	1194	3783
240	1197	3771
241	1201	3762
242	1203	3750
243	1207	3741
244	1210	3729
245	1217	3732
246	1220	3721
247	1223	3709
248	1225	3696
249	1230	3692
250	1233	3681
251	1236	3670
252	1239	3659
253	1242	3649
254	1246	3641
255	1249	3630
256	1251	3618
257	1254	3609
258	1259	3602
259	1264	3599
260	1269	3594
261	1283	3614
262	1294	3626
263	1297	3616
264	1300	3606
265	1306	3604
266	1308	3593
267	1311	3582
268	1316	3577
269	1325	3583
270	1329	3576
271	1338	3582
272	1341	3571
273	1344	3561
274	1346	3551
275	1352	3548
276	1357	3542
277	1361	3534
278	1366	3532
279	1370	3523
280	1372	3512
281	1375	3503
282	1382	3502
283	1384	3491
284	1387	3481
285	1391	3473
286	1394	3463
287	1399	3461
288	1403	3453
289	1406	3443
290	1408	3432
291	1414	3429
292	1417	3419
293	1421	3413
294	1428	3413
295	1431	3404
296	1433	3392
297	1436	3384
298	1443	3384
299	1449	3381
300	1453	3375
301	1461	3377
302	1463	3367
303	1466	3358
304	1470	3351
305	1476	3348
306	1479	3340
307	1482	3330
308	1485	3321
309	1491	3318
310	1495	3313
311	1498	3304
312	1500	3294
313	1508	3295
314	1510	3285
315	1514	3278
316	1520	3275
317	1523	3266
318	1526	3258
319	1528	3249
320	1536	3250
321	1540	3243
322	1543	3235
323	1547	3227
324	1549	3219
325	1552	3209
326	1554	3200
327	1557	3191
328	1566	3193
329	1571	3190
330	1575	3183
331	1580	3179
332	1583	3171
333	1585	3162
334	1587	3151
335	1590	3142
336	1593	3134
337	1595	3125
338	1598	3116
339	1600	3106
340	1602	3097
341	1604	3087
342	1612	3089
343	1615	3081
344	1618	3073
345	1622	3066
346	1625	3059
347	1627	3049
348	1629	3039
349	1631	3030
350	1634	3021
351	1640	3019
352	1642	3009
353	1644	3001
354	1649	2996
355	1654	2993
356	1658	2986
357	1661	2978
358	1665	2972
359	1671	2971
360	1674	2964
361	1678	2958
362	1689	2963
363	1693	2959
364	1702	2962
365	1704	2953
366	1707	2944
367	1709	2935
368	1711	2927
369	1714	2919
370	1717	2911
371	1720	2904
372	1722	2895
373	1724	2886
374	1726	2877
375	1733	2877
376	1736	2869
377	1738	2860
378	1740	2851
379	1741	2841
380	1746	2837
381	1749	2829
382	1751	2821
383	1752	2811
384	1754	2803
385	1756	2794
386	1764	2794
387	1766	2785
388	1768	2778
389	1771	2770
390	1773	2762
391	1777	2756
392	1779	2748
393	1781	2740
394	1784	2733
395	1786	2725
396	1797	2729
397	1800	2723
398	1807	2722
399	1810	2715
400	1813	2709
401	1816	2702
402	1819	2694
403	1840	2715
404	1843	2709
405	1847	2702
406	1849	2694
407	1851	2686
408	1853	2678
409	1856	2671
410	1858	2664
411	1861	2656
412	1865	2650
413	1867	2642
414	1869	2634
415	1871	2626
416	1873	2618
417	1874	2610
418	1879	2606
419	1881	2597
420	1883	2589
421	1884	2581
422	1886	2573
423	1887	2564
424	1889	2556
425	1892	2550
426	1894	2542
427	1896	2535
428	1899	2527
429	1900	2519
430	1902	2511
431	1904	2504
432	1909	2500
433	1911	2493
434	1913	2485
435	1915	2477
436	1917	2469
437	1918	2462
438	1921	2455
439	1923	2448
440	1926	2441
441	1927	2433
442	1929	2426
443	1931	2419
444	1934	2413
445	1939	2409
446	1941	2401
447	1943	2394
448	1945	2387
449	1947	2379
450	1949	2372
451	1951	2366
452	1954	2359
453	1956	2352
454	1957	2344
455	1959	2337
456	1961	2330
457	1963	2323
458	1968	2320
459	1970	2313
460	1972	2305
461	1973	2298
462	1975	2291
463	1977	2284
464	1979	2277
465	1982	2271
466	1984	2265
467	1986	2258
468	1988	2251
469	1990	2244
470	1991	2237
471	1993	2229
472	1998	2226
473	1999	2219
474	2001	2212
475	2003	2205
476	2005	2198
477	2007	2191
478	2009	2186
479	2012	2180
480	2015	2175
481	2017	2168
482	2020	2162
483	2021	2155
484	2023	2149
485	2028	2145
486	2030	2138
487	2032	2132
488	2035	2126
489	2037	2120
490	2041	2115
491	2043	2110
492	2046	2104
493	2048	2098
494	2051	2092
495	2053	2086
496	2058	2083
497	2061	2077
498	2064	2072
499	2067	2067
500	2069	2061
501	2072	2056
502	2074	2050
503	2078	2045
504	2081	2040
505	2083	2034
506	2090	2032
507	2092	2026
508	2095	2021
509	2098	2016
510	2103	2012
511	2106	2008
512	2109	2002
513	2116	2000
514	2119	1995
515	2121	1990
516	2124	1984
517	2129	1981
518	2133	1977
519	2136	1971
520	2139	1966
521	2142	1962
522	2148	1959
523	2150	1953
524	2153	1948
525	2156	1943
526	2162	1940
527	2164	1935
528	2167	1929
529	2169	1924
530	2172	1918
531	2176	1914
532	2179	1909
533	2182	1904
534	2185	1899
535	2187	1894
536	2192	1889
537	2194	1884
538	2197	1879
539	2200	1874
540	2205	1871
541	2208	1866
542	2211	1861
543	2214	1855
544	2216	1850
545	2220	1846
546	2222	1840
547	2224	1835
548	2228	1830
549	2230	1824
550	2235	1821
551	2238	1816
552	2241	1811
553	2243	1806
554	2246	1801
555	2250	1797
556	2254	1792
557	2257	1787
558	2260	1783
559	2262	1777
560	2269	1776
561	2272	1770
562	2275	1766
563	2279	1762
564	2284	1758
565	2286	1753
566	2289	1748
567	2292	1743
568	2298	1740
569	2300	1735
570	2304	1731
571	2307	1726
572	2312	1723
573	2315	1718
574	2318	1713
575	2327	1713
576	2331	1708
577	2334	1704
578	2337	1699
579	2343	1696
580	2347	1692
581	2350	1687
582	2352	1682
583	2359	1680
584	2362	1675
585	2364	1670
586	2368	1666
587	2374	1663
588	2379	1660
589	2383	1656
590	2389	1653
591	2392	1648
592	2395	1644
593	2398	1639
594	2404	1636
595	2407	1631
596	2411	1627
597	2415	1623
598	2421	1620
599	2423	1615
600	2427	1611
601	2430	1606
602	2439	1606
603	2442	1601
604	2446	1597
605	2453	1594
606	2455	1590
607	2458	1584
608	2461	1580
